order_id,user_id,order_placement_time,warehouse_location,warehouse_pin_code,delivery_location,delivery_pin_code,distance,shipping_method,delivery_time,predicted_delivery_time
ORD000001,USR8015,2024-11-24 12:33:46.350916,Kottayam Depot,686001,Kottayam Central,686001,933.47,Standard,3,2024-11-27 11:00:00.000000
ORD000002,USR3942,2024-11-14 00:01:42.350916,Kottayam Depot,686001,Changanassery Warehouse,686101,654.04,Express,1,2024-11-15 16:15:00.000000
ORD000003,USR1352,2024-10-29 16:04:26.350916,Kottayam Depot,686001,Erumely Depot,686509,1188.05,Express,2,2024-10-31 11:00:00.000000
ORD000004,USR7014,2025-02-02 08:49:41.350916,Kottayam Depot,686001,Ranni Storage,689672,1317.06,Standard,4,2025-02-06 14:15:00.000000
ORD000005,USR6929,2024-08-25 12:38:40.350916,Kottayam Depot,686001,Changanassery Warehouse,686101,570.78,Standard,2,2024-08-27 10:15:00.000000
ORD000006,USR5352,2024-09-30 19:37:42.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,1209.14,Standard,4,2024-10-04 11:45:00.000000
ORD000007,USR7296,2024-10-08 12:18:26.350916,Kottayam Depot,686001,Erumely Depot,686509,917.18,Standard,3,2024-10-11 11:15:00.000000
ORD000008,USR3496,2025-02-10 16:36:27.350916,Kottayam Depot,686001,Kottayam Central,686001,561.66,Express,1,2025-02-11 09:30:00.000000
ORD000009,USR5958,2025-01-07 15:34:19.350916,Kottayam Depot,686001,Ponkunnam Warehouse,686506,344.27,Standard,1,2025-01-08 10:45:00.000000
ORD000010,USR2923,2025-02-03 00:55:49.350916,Kottayam Depot,686001,Vaikom Depot,686141,140.57,Express,1,2025-02-04 17:15:00.000000
ORD000011,USR2032,2024-09-27 22:07:48.350916,Kottayam Depot,686001,Pala Storage,686575,683.98,Standard,2,2024-09-29 13:15:00.000000
ORD000012,USR3859,2024-12-02 09:10:57.350916,Kottayam Depot,686001,Vaikom Depot,686141,966.06,Express,2,2024-12-04 12:15:00.000000
ORD000013,USR4106,2024-12-04 01:50:26.350916,Kottayam Depot,686001,Ettumanoor Hub,686631,1065.06,Express,2,2024-12-06 13:00:00.000000
ORD000014,USR5912,2024-09-06 02:23:21.350916,Kottayam Depot,686001,Ettumanoor Hub,686631,525.29,Standard,2,2024-09-08 17:15:00.000000
ORD000015,USR2260,2025-01-15 06:20:06.350916,Kottayam Depot,686001,Mundakayam Center,686513,695.69,Standard,2,2025-01-17 14:30:00.000000
ORD000016,USR4859,2025-01-14 02:13:39.350916,Kottayam Depot,686001,Changanassery Warehouse,686101,550.74,Standard,2,2025-01-16 17:30:00.000000
ORD000017,USR3639,2024-10-11 18:06:45.350916,Kottayam Depot,686001,Kottayam Central,686001,1335.51,Standard,4,2024-10-15 17:00:00.000000
ORD000018,USR1951,2024-09-15 17:24:29.350916,Kottayam Depot,686001,Erumely Depot,686509,548.23,Standard,2,2024-09-17 11:15:00.000000
ORD000019,USR9113,2024-09-22 19:49:38.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,1003.33,Standard,3,2024-09-25 10:15:00.000000
ORD000020,USR4426,2024-12-04 17:40:47.350916,Kottayam Depot,686001,Vaikom Depot,686141,1327.52,Standard,4,2024-12-08 15:00:00.000000
ORD000021,USR4863,2025-01-08 07:34:39.350916,Kottayam Depot,686001,Pala Storage,686575,505.24,Standard,2,2025-01-10 09:30:00.000000
ORD000022,USR4216,2024-10-07 13:58:49.350916,Kottayam Depot,686001,Ettumanoor Hub,686631,136.29,Standard,1,2024-10-08 09:30:00.000000
ORD000023,USR6499,2025-01-05 21:20:16.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,1264.09,Standard,4,2025-01-09 11:45:00.000000
ORD000024,USR8569,2024-11-12 10:28:53.350916,Kottayam Depot,686001,Pala Storage,686575,1340.16,Standard,4,2024-11-16 09:15:00.000000
ORD000025,USR3951,2024-12-21 05:45:29.350916,Kottayam Depot,686001,Ponkunnam Warehouse,686506,1439.9,Standard,5,2024-12-26 15:30:00.000000
ORD000026,USR5427,2025-01-04 08:42:01.350916,Kottayam Depot,686001,Vaikom Depot,686141,1108.66,Express,2,2025-01-06 14:30:00.000000
ORD000027,USR2156,2024-12-23 01:11:12.350916,Kottayam Depot,686001,Vaikom Depot,686141,74.63,Standard,1,2024-12-24 16:15:00.000000
ORD000028,USR8795,2025-02-03 08:56:27.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,864.31,Standard,3,2025-02-06 13:00:00.000000
ORD000029,USR6080,2024-10-09 20:20:59.350916,Kottayam Depot,686001,Mundakayam Center,686513,809.7,Standard,3,2024-10-12 15:15:00.000000
ORD000030,USR6508,2024-12-30 15:17:55.350916,Kottayam Depot,686001,Mundakayam Center,686513,119.5,Standard,1,2024-12-31 10:30:00.000000
ORD000031,USR4397,2025-01-05 09:21:27.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,53.51,Standard,1,2025-01-06 09:30:00.000000
ORD000032,USR3889,2025-01-30 00:44:41.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,853.19,Standard,3,2025-02-02 09:45:00.000000
ORD000033,USR6894,2024-09-04 08:05:40.350916,Kottayam Depot,686001,Pala Storage,686575,981.86,Standard,3,2024-09-07 10:15:00.000000
ORD000034,USR2633,2024-11-07 16:33:53.350916,Kottayam Depot,686001,Mundakayam Center,686513,1446.96,Express,3,2024-11-10 10:00:00.000000
ORD000035,USR1690,2024-12-24 16:02:08.350916,Kottayam Depot,686001,Ponkunnam Warehouse,686506,222.65,Express,1,2024-12-25 11:00:00.000000
ORD000036,USR9654,2024-10-17 03:16:28.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,625.16,Express,1,2024-10-18 17:00:00.000000
ORD000037,USR2289,2024-09-26 16:21:22.350916,Kottayam Depot,686001,Erumely Depot,686509,1113.06,Standard,4,2024-09-30 14:45:00.000000
ORD000038,USR4537,2025-01-05 20:45:24.350916,Kottayam Depot,686001,Mundakayam Center,686513,1257.49,Standard,4,2025-01-09 14:45:00.000000
ORD000039,USR4577,2024-10-25 18:08:47.350916,Kottayam Depot,686001,Ranni Storage,689672,878.03,Standard,3,2024-10-28 15:15:00.000000
ORD000040,USR4999,2024-09-12 03:54:08.350916,Kottayam Depot,686001,Erumely Depot,686509,861.75,Standard,3,2024-09-15 17:15:00.000000
ORD000041,USR2280,2025-01-28 10:23:00.350916,Kottayam Depot,686001,Pala Storage,686575,1347.08,Standard,4,2025-02-01 09:30:00.000000
ORD000042,USR2431,2024-09-25 23:36:41.350916,Kottayam Depot,686001,Mundakayam Center,686513,1266.35,Standard,4,2024-09-29 15:45:00.000000
ORD000043,USR5903,2024-11-12 09:03:28.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,538.39,Standard,2,2024-11-14 12:30:00.000000
ORD000044,USR1281,2024-11-30 12:26:27.350916,Kottayam Depot,686001,Ettumanoor Hub,686631,1304.46,Express,3,2024-12-03 13:00:00.000000
ORD000045,USR7581,2024-09-20 19:17:08.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,793.53,Standard,3,2024-09-23 16:00:00.000000
ORD000046,USR8285,2024-09-23 22:27:02.350916,Kottayam Depot,686001,Ranni Storage,689672,1321.42,Standard,4,2024-09-27 16:30:00.000000
ORD000047,USR6497,2024-08-19 03:24:42.350916,Kottayam Depot,686001,Ranni Storage,689672,1247.93,Standard,4,2024-08-23 14:15:00.000000
ORD000048,USR5445,2024-10-18 11:37:21.350916,Kottayam Depot,686001,Ettumanoor Hub,686631,115.48,Standard,1,2024-10-19 10:30:00.000000
ORD000049,USR8067,2025-02-10 22:42:53.350916,Kottayam Depot,686001,Changanassery Warehouse,686101,1399.99,Standard,5,2025-02-15 12:15:00.000000
ORD000050,USR1618,2024-09-03 07:32:28.350916,Kottayam Depot,686001,Mundakayam Center,686513,1415.66,Standard,5,2024-09-08 17:15:00.000000
ORD000051,USR8179,2024-10-24 08:41:30.350916,Kottayam Depot,686001,Pala Storage,686575,831.66,Express,2,2024-10-26 15:00:00.000000
ORD000052,USR2523,2024-09-23 13:48:21.350916,Kottayam Depot,686001,Kottayam Central,686001,604.16,Express,1,2024-09-24 17:00:00.000000
ORD000053,USR4418,2025-01-24 17:53:03.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,588.29,Express,1,2025-01-25 14:15:00.000000
ORD000054,USR2470,2024-11-02 10:37:25.350916,Kottayam Depot,686001,Ranni Storage,689672,710.36,Express,1,2024-11-03 10:15:00.000000
ORD000055,USR3880,2024-12-31 10:36:36.350916,Kottayam Depot,686001,Ranni Storage,689672,1155.92,Standard,4,2025-01-04 16:15:00.000000
ORD000056,USR1644,2024-10-04 20:32:34.350916,Kottayam Depot,686001,Ranni Storage,689672,1065.02,Express,2,2024-10-06 10:15:00.000000
ORD000057,USR9404,2024-11-18 18:14:09.350916,Kottayam Depot,686001,Changanassery Warehouse,686101,1105.62,Standard,4,2024-11-22 15:45:00.000000
ORD000058,USR9515,2024-11-30 22:21:55.350916,Kottayam Depot,686001,Erumely Depot,686509,1230.73,Standard,4,2024-12-04 15:45:00.000000
ORD000059,USR9302,2024-10-16 17:54:50.350916,Kottayam Depot,686001,Kanjirappally Hub,686507,829.42,Standard,3,2024-10-19 15:00:00.000000
ORD000060,USR3081,2024-10-21 12:20:06.350916,Kottayam Depot,686001,Vaikom Depot,686141,564.23,Standard,2,2024-10-23 10:30:00.000000
ORD000061,USR7106,2024-08-20 18:06:09.350916,Kottayam Depot,686001,Kottayam Central,686001,748.82,Standard,2,2024-08-22 15:30:00.000000
ORD000062,USR5114,2024-12-09 06:43:34.350916,Kottayam Depot,686001,Erumely Depot,686509,147.4,Standard,1,2024-12-10 17:00:00.000000
ORD000063,USR3582,2024-10-29 14:35:36.350916,Kottayam Depot,686001,Vaikom Depot,686141,696.42,Express,1,2024-10-30 16:15:00.000000
